Address,Price,Bedrooms,Bathrooms,Property_type,Floor_area,Date,County,zip_code
"Garrylawn, Galmoy,  Kilkenny, E41PN88",350000,4,3,Detached,238 m²,2023-12-22, Kilkenny,E41PN88
"178 Fountain Wood, Berryridge Avenue, Portlaoise,  Laois, R32W6XK",340000,4,3,Detached,67 m²,2023-12-22, Laois,R32W6XK
"Heather Hill, Ratheven, Portlaoise,  Laois, R32TFF9",599000,5,4,Detached,59 m²,2023-12-22, Laois,R32TFF9
"Oriel, 9 Carrigeenlea, Tramore,  Waterford, X91F2C6",950000,5,1,Detached,392 m²,2023-12-22, Waterford,X91F2C6
"137 Rockenham, Ferrybank,  Waterford, X91EH2D",220000,2,1,Terrace,233 m²,2023-12-22, Waterford,X91EH2D
"16 Sheraton Court, Glasheen Road, Glasheen,  Cork, T12E2D2",279000,2,7,Townhouse,300 m²,2023-12-22, Cork,T12E2D2
"Highfield House, Kilcorral, Castlebridge,  Wexford, Y35YA48",875000,6,4,Detached,159 m²,2023-12-22, Wexford,Y35YA48
"Cluain Ard, 5 Cliff Road, Tramore,  Waterford, X91X7P4",950000,4,3,Detached,220 m²,2023-12-22, Waterford,X91X7P4
"50 Sydney Parade Avenue, Sandymount, Sandymount, Dublin 4, D04X3V1",3500000,6,4,Detached,345 m²,2023-12-22,Dublin,D04X3V1
"Sunaura, 1 Meath Road, Bray,  Wicklow, A98X985",875000,4,6,Semi-D,274 m²,2023-12-22, Wicklow,A98X985
"3 Altbawn Cresent, Kiltimagh,  Mayo, F12RK33",180000,3,3,Semi-D,116 m²,2023-12-22, Mayo,F12RK33
"Hodson Bay, Athlone,  Roscommon, N37Y992",600000,4,2,Detached,125 m²,2023-12-22, Roscommon,N37Y992
"Lissagriffin, Goleen,  Cork, P81C827",590000,2,2,Detached,121 m²,2023-12-22, Cork,P81C827
"Commercial/Residential Main Street, Castlerea,  Roscommon",450000,4,3,Terrace,465 m²,2023-12-22, Roscommon, Roscommon
"The Steward's House, 11 The Stables, Blackrock,  Dublin, A94X4P8",1500000,4,2,Detached,170 m²,2023-12-22, Dublin,A94X4P8
"36 Carrowmore Meadows, Knock,  Mayo, F12AK12",165000,2,1,Semi-D,84 m²,2023-12-22, Mayo,F12AK12
"Castle Street, Dunmore,  Galway, H54PW66",280000,4,2,Terrace,144 m²,2023-12-22, Galway,H54PW66
"Cascia Ville, 15 Marble Hall Park, Ballinlough,  Cork, T12T9C5",450000,5,6,Semi-D,285 m²,2023-12-22, Cork,T12T9C5
"Knockglass House, Knockglass, Crossmolina,  Mayo, F26YV62",1200000,6,4,Detached,307 m²,2023-12-22, Mayo,F26YV62
"4 Glena Terrace, Spawell Road, Wexford Town,  Wexford, Y35V8C5",795000,4,4,Terrace,144 m²,2023-12-22, Wexford,Y35V8C5
"4 Granville Road, Blackrock, Co Dublin, A94RH95",1525000,2,1,Detached,175 m²,2023-12-22,Dublin,A94RH95
"9 Coolattin Gardens, Shillelagh,  Wicklow, Y14R793",485000,4,3,Detached,180 m²,2023-12-22, Wicklow,Y14R793
"Loughanboy, Knock,  Mayo, F12HP80",255000,3,3,Detached,135 m²,2023-12-22, Mayo,F12HP80
"12 The Lawn, Cork City,  Cork, T23AH95",299950,4,3,Townhouse,115 m²,2023-12-22, Cork,T23AH95
"Irishtown, Irishtown,  Mayo, F12NP98",150000,5,2,Semi-D,153 m²,2023-12-22, Mayo,F12NP98
"12 The Lawn, Blarney,  Cork, T23AH95",299000,4,3,Townhouse,117 m²,2023-12-22, Cork,T23AH95
"Rossdohan, Kenmare,  Kerry, V93K0D7",550000,2,2,Detached,87 m²,2023-12-22, Kerry,V93K0D7
"Ardour, Kilconly, Tuam,  Galway, H54TF78",550000,4,4,Detached,260 m²,2023-12-22, Galway,H54TF78
"Forenaught, Creaden, Dunmore East,  Waterford, X91C9Y2",2995000,6,5,Detached,400 m²,2023-12-22, Waterford,X91C9Y2
"25 Galtee Close, Caherdavin,  Limerick, V942N66",225000,3,1,Bungalow,55 m²,2023-12-22, Limerick,V942N66
"Woodfield House, Circular Road, Dunmore East,  Waterford, X91W1W7",2495000,5,2,Detached,161 m²,2023-12-22, Waterford,X91W1W7
"Rosemount, Lacken, New Ross,  Wexford, Y34CD66",325000,4,2,Detached,159 m²,2023-12-22, Wexford,Y34CD66
"Crossleigh,1.5 acre Killeshin, Carlow, Killeshin,  Laois, R93T9E2",370000,5,3,Detached,269 m²,2023-12-22, Laois,R93T9E2
"Fortnaven View, Ballindrumlea, Castlerea,  Roscommon, F45Y659",260000,4,2,Bungalow,290 m²,2023-12-22, Roscommon,F45Y659
"Brackloon, Castlerea,  Roscommon, F45R894",320000,4,2,Detached,115 m²,2023-12-22, Roscommon,F45R894
"Tankardstown, Garristown,  Meath, A42H289",585000,6,4,Detached,186 m²,2023-12-22, Meath,A42H289
"Stonemore House, Cloonmore, Killashee,  Longford, N39YK59",495000,6,6,Detached,448 m²,2023-12-22, Longford,N39YK59
"Urcher, Bailieborough,  Cavan, A82T9K5",575000,4,4,Detached,73 m²,2023-12-22, Cavan,A82T9K5
"Rinuccini Court, Rinuccini, Portlaoise,  Laois, R32KW13",187000,2,2,Apartment,82 m²,2023-12-22, Laois,R32KW13
"Corcreggan, Dunfanaghy,  Donegal, F92H77F",290000,6,3,Detached,815 m²,2023-12-22, Donegal,F92H77F
"31 Carrowmore Meadows, Knock,  Mayo, F12F596",155000,2,1,Semi-D,238 m²,2023-12-22, Mayo,F12F596
"Carezza, Dublin Road, Shankill, Dublin 18, D18P8C8",3450000,5,7,Detached,270 m²,2023-12-22,Dublin,D18P8C8
"Perssepark, Ballinasloe,  Galway, H53NT15",595000,4,3,Detached,135 m²,2023-12-22, Galway,H53NT15
"Church Road, Moate, Oldcastle,  Meath, A82F343",575000,5,4,Detached,190 m²,2023-12-22, Meath,A82F343
"1 Marian Terrace, Dunmore East,  Waterford, X91Y285",620000,4,2,Semi-D,210 m²,2023-12-22, Waterford,X91Y285
"Overdene, 5 Wentworth Place, Wicklow Town,  Wicklow, A67XH79",1350000,4,3,Detached,147 m²,2023-12-22, Wicklow,A67XH79
"Presbytery, Ennis Road, Newmarket on Fergus,  Clare, V95C5P1",375000,5,3,Detached,801 m²,2023-12-22, Clare,V95C5P1
"106 Griffith Avenue, Drumcondra, Dublin 9, D09A6K5",975000,4,2,Semi-D,132 m²,2023-12-22,Dublin,D09A6K5
"Clarin House, Stradbally East, Clarinbridge,  Galway, H91E6EC",2225000,5,5,Detached,250 m²,2023-12-22, Galway,H91E6EC
"2 Árd Barra, Glanmire,  Cork, T45AP80",395000,4,2,Detached,264 m²,2023-12-22, Cork,T45AP80
"Chartwell, Douglas Road, Douglas,  Cork, T12YR8R",1100000,4,2,Detached,520 m²,2023-12-22, Cork,T12YR8R
"Killachunna, Killimor, Ballinasloe,  Galway, H53FW35",450000,4,3,Detached,186 m²,2023-12-22, Galway,H53FW35
"Park Lodge, Water Street, Waterford City,  Waterford, X91HE20",695000,5,4,Detached,203 m²,2023-12-22, Waterford,X91HE20
"Highfield House, Bolinready, Ballycanew, Gorey,  Wexford, Y25Y577",595000,8,4,Detached,418 m²,2023-12-22, Wexford,Y25Y577
"Market Square, Bailieborough,  Cavan",100000,3,1,Semi-D,111 m²,2023-12-22, Cavan, Cavan
"9 James Square, Tower Street, Tower,  Cork, T12HWR0",149000,1,1,Townhouse,108 m²,2023-12-22, Cork,T12HWR0
"13 Bellevue Heights, Frankfield, Frankfield,  Cork, T12W88K",305000,3,3,Semi-D,150 m²,2023-12-22, Cork,T12W88K
"51C Ballintyre Grove, Ballinteer, Ballinteer, Dublin 16, D16WA87",725000,3,2,Apartment,212 m²,2023-12-22,Dublin,D16WA87
"Meadowcroft, Castleroberts, Adare,  Limerick, V94K66V",615000,4,3,Detached,155 m²,2023-12-22, Limerick,V94K66V
"Beechview, Deansgrange Road, Blackrock,  Dublin, A94N9R2",795000,3,2,Semi-D,66 m²,2023-12-22, Dublin,A94N9R2
"Apartment 113, River Towers, Cork City,  Cork, T23NH24",195000,2,2,Apartment,135 m²,2023-12-22, Cork,T23NH24
"28 Acorns Upper, Castlecomer,  Kilkenny, R95KP73",295000,4,3,Detached,377 m²,2023-12-22, Kilkenny,R95KP73
"Mayflower Manor, Killone, Portlaoise,  Laois, R32PR52",700000,6,4,Detached,126 m²,2023-12-22, Laois,R32PR52
"17 Marlton Park, Wicklow Town,  Wicklow, A67HX63",430000,4,3,Semi-D,83 m²,2023-12-22, Wicklow,A67HX63
"Ballinagran Upper, Gorey,  Wexford, Y25TK60",375000,4,2,Detached,62 m²,2023-12-22, Wexford,Y25TK60
"Glendale, Ballymoate, Glenealy,  Wicklow, A67Y754",395000,2,1,Detached,307 m²,2023-12-22, Wicklow,A67Y754
"33 Blainroe Cottages, Blainroe,  Wicklow, A67WD68",250000,2,2,Terrace,264 m²,2023-12-22, Wicklow,A67WD68
"135 Southmede, Dundrum, Dublin 16, D16X208",415000,2,1,Apartment,45 m²,2023-12-22,Dublin,D16X208
"Tiermore, Kilmacow,  Waterford, X91P9N3",625000,5,4,Detached,448 m²,2023-12-22, Waterford,X91P9N3
"35 Mountpleasant Square, Ranelagh, Ranelagh, Dublin 6, D06PW66",1550000,5,5,End of Terrace,49 m²,2023-12-22,Dublin,D06PW66
"25 Thormanby Hill, Thormanby Road, Howth,  Dublin, D13HF6Y",1850000,5,5,Detached,312 m²,2023-12-22, Dublin,D13HF6Y
"10 Saint Patrick's Terrace, Greenmount, Cork City,  Cork, T12FWH2",250000,3,1,Terrace,60 m²,2023-12-22, Cork,T12FWH2
"Apartment 2, Glenesky Square, Phoenix Park Racecourse, Castleknock, Dublin 15, D15AX21",299000,1,1,Apartment,47 m²,2023-12-22,Dublin,D15AX21
"7 Ailesbury Road, Ballsbridge, Dublin 4, D04W1X9",12000000,5,4,Semi-D,473 m²,2023-12-22,Dublin,D04W1X9
"Tower Hill House, Rockshire Road, Ferrybank, X91WVY1",1250000,4,5,Detached,119 m²,2023-12-22,Dublin,X91WVY1
"7 Glenbourne Road, Leopardstown Valley, Leopardstown, Dublin 18, D18Y9C9",695000,3,2,Semi-D,95 m²,2023-12-22,Dublin,D18Y9C9
"26 Bay Meadows Avenue, Hollystown, Dublin 15, D15RKV8",380000,2,3,End of Terrace,120 m²,2023-12-22,Dublin,D15RKV8
"14 Slí Na Sruthán, Clybaun Road, Knocknacarra,  Galway, H91DWX6",440000,4,3,Semi-D,124 m²,2023-12-22, Galway,H91DWX6
"Knox Street, Ballyhaunis,  Mayo, F35W688",145000,3,3,Terrace,78 m²,2023-12-22, Mayo,F35W688
"2 Red Abbey Court, Margaret Street, Cork City,  Cork, T12TCV9",349000,3,2,Terrace,244 m²,2023-12-22, Cork,T12TCV9
"Anster, Ballacolla,  Laois, R32PW88",428000,5,5,Detached,472 m²,2023-12-22, Laois,R32PW88
"Ashfield House, Archerstown, Durrow,  Laois, R32WY92",750000,6,5,Detached,130 m²,2023-12-22, Laois,R32WY92
"Kathrew, 4 Mount Pleasant Road, Turners Cross,  Cork, T12NY8K",450000,3,5,Semi-D,420 m²,2023-12-22, Cork,T12NY8K
"Luxury Residence On C. 1.20 Acres, Bellanacarrow House, Athleague,  Roscommon, F42KA40",495000,6,6,Detached,163 m²,2023-12-22, Roscommon,F42KA40
"19 Ringcurran Rise, Ardbrack, Kinsale,  Cork, P17KW65",595000,4,3,Detached,100 m²,2023-12-22, Cork,P17KW65
"Saint Ann's, 45 School Street, Wexford Town,  Wexford, Y35V6H6",195000,3,1,Terrace,138 m²,2023-12-22, Wexford,Y35V6H6
"3 Templar's Court, New Line Road, Wexford Town,  Wexford, Y35D3T2",325000,3,3,Semi-D,108 m²,2023-12-22, Wexford,Y35D3T2
"34 Victoria Place, Snugboro, Castlebar,  Mayo, F23W135",225000,3,3,Semi-D,235 m²,2023-12-22, Mayo,F23W135
"48 Fox Hollow, Golf Links Road, Castletroy,  Limerick, V9472Y7",825000,4,4,Detached,157 m²,2023-12-22, Limerick,V9472Y7
"Development Opportunity On C 9 Acres Marshalstown, Kilmessan,  Meath, C15HR66",950000,5,2,Detached,160 m²,2023-12-22, Meath,C15HR66
"The Rookery, Rea, Berrings,  Cork, P12HY06",635000,5,4,Detached,261 m²,2023-12-22, Cork,P12HY06
"GUILFOYLES GARDEN CENTRE, Grey Abbey Road, Kildare,  Kildare, R51K292",750000,2,2,Detached,160 m²,2023-12-22, Kildare,R51K292
"119 Glenmore Wood, Mullingar,  Westmeath, N91V9F3",260000,3,3,Terrace,308 m²,2023-12-22, Westmeath,N91V9F3
"Ennisnag Park House, Danesfort,  Kilkenny, R95RX74",775000,5,4,Detached,0.2 ac,2023-12-22, Kilkenny,R95RX74
"14 Blakes Hill, Knocknacarra,  Galway, H91RY7C",1000000,3,3,Site,137 m²,2023-12-22, Galway,H91RY7C
"42 Ryecroft, Maryborough Woods, Douglas,  Cork, T12K7DW",349000,4,3,Terrace,106 m²,2023-12-22, Cork,T12K7DW
"14 Dunvale Drive, Frankfield, Frankfield,  Cork, T12CX7V",319000,3,1,Semi-D,116 m²,2023-12-22, Cork,T12CX7V
"Uphills, Hoddersfield, Crosshaven,  Cork, P43H527",425000,1,1,Detached,44 m²,2023-12-22, Cork,P43H527
"Apartment 11, Portobello Wharf, Portobello, Dublin 8, D08X890",350000,4,2,Apartment,122 m²,2023-12-22,Dublin,D08X890
"21 Wigan Road, Drumcondra, Drumcondra, Dublin 9, D09X8Y0",575000,4,2,Terrace,194 m²,2023-12-22,Dublin,D09X8Y0
"Tinhalla, Carrick-on-Suir,  Tipperary, E32V990",550000,4,4,Detached,200 m²,2023-12-22, Tipperary,E32V990
"House 3, 150 Howth Road, Clontarf, Dublin 3, D03W897",1250000,5,2,Terrace,154 m²,2023-12-22,Dublin,D03W897
"Ballina, Ballyglunin, Ballyglunin,  Galway, H54VX81",320000,1,1,Detached,38 m²,2023-12-22, Galway,H54VX81
"56 20 Christchurch Place, Christchurch, Dublin 8, D08E7N3",275000,3,1,Apartment,107 m²,2023-12-22,Dublin,D08E7N3
"Abbey Street, Ballyhaunis,  Mayo, F35DE62",150000,2,2,Semi-D,81 m²,2023-12-22, Mayo,F35DE62
"3A Old Blackrock Road, Cork City,  Cork, T12RD9V",295000,5,4,Terrace,246 m²,2023-12-22, Cork,T12RD9V
"No. 21 Ardilea, Castlecomer Road, Kilkenny,  Kilkenny, R95K7P9",775000,6,2,Detached,167 m²,2023-12-22, Kilkenny,R95K7P9
"Tara, Ballyfad,  Wexford, Y25CX52",450000,4,2,Detached,185 m²,2023-12-22, Wexford,Y25CX52
"29 Dunbur Park, Wicklow Town,  Wicklow, A67AN81",595000,4,2,Bungalow,65 m²,2023-12-22, Wicklow,A67AN81
"21 Castleheath, Malahide,  Dublin, K36FW56",360000,2,1,Apartment,240 m²,2023-12-22, Dublin,K36FW56
"Glenmaurice House, 71 St Lawrence Road, Clontarf, Dublin 3, D03NR71",1850000,3,3,Detached,357 m²,2023-12-22,Dublin,D03NR71
"132 Dublin Road, Sutton, Dublin 13, D13CFX9",1850000,5,6,Detached,276 m²,2023-12-22,Dublin,D13CFX9
"47 Summerville Avenue, Waterford City,  Waterford, X91CC6N",745000,5,4,Detached,126 m²,2023-12-22, Waterford,X91CC6N
"1 Pavilion Gate, Glenamuck Road South, Foxrock, Dublin 18, D18DW21",1295000,5,4,Detached,67 m²,2023-12-22,Dublin,D18DW21
"11 Saint Margaret's Park, Malahide,  Dublin, K36YF68",1500000,4,2,Detached,122 m²,2023-12-22, Dublin,K36YF68
"11 Pembroke Avenue, Pembroke Wood, Passage West,  Cork, T12D857",210000,2,1,Apartment,0.5 ac,2023-12-22, Cork,T12D857
"Dun, Newcastle,  Wicklow, A63Y959",675000,4,2,Detached,90 m²,2023-12-22, Wicklow,A63Y959
"Upper Main Street, Ballyhaunis,  Mayo, F35FT80",250000,3,3,Townhouse,266 m²,2023-12-22, Mayo,F35FT80
"Aghadrestan, Lisacul, Loughglynn,  Roscommon, F45HF89",80000,5,3,Bungalow,159 m²,2023-12-22, Roscommon,F45HF89
"35 Carrigeenlea, Cliff Road, Tramore,  Waterford, X91F582",595000,2,2,Detached,60 m²,2023-12-22, Waterford,X91F582
"Apartment 99, The Plaza, Ballymun, Dublin 9, D09Y6P9",295000,4,2,Apartment,220 m²,2023-12-22,Dublin,D09Y6P9
"Shrine Lodge, Ballinattin, Tramore,  Waterford, X91K025",520000,4,2,Detached,137 m²,2023-12-22, Waterford,X91K025
"13 Castleview, Williamstown Road, Waterford City,  Waterford, X91A66X",775000,5,4,Detached,274 m²,2023-12-22, Waterford,X91A66X
"Kinard, Elphin,  Roscommon, F45H634",170000,3,1,Detached,1000 m²,2023-12-22, Roscommon,F45H634
"Asgard, Odins Way, Rathfarnham, Dublin 16, D16CX26",740000,5,3,Detached,133 m²,2023-12-22,Dublin,D16CX26
"5 Bramble Wood, Kingscourt,  Cavan, A82F6Y0",229000,3,3,Semi-D,100 m²,2023-12-22, Cavan,A82F6Y0
"5 Bohreen Hill, Enniscorthy,  Wexford, Y21H2P4",295000,3,2,Bungalow,133 m²,2023-12-22, Wexford,Y21H2P4
"Ballinalacken, Ballyragget,  Kilkenny, R32T9F6",365000,4,2,Detached,164 m²,2023-12-22, Kilkenny,R32T9F6
"24 Booterstown, Dunmore Road, Ballygunner,  Waterford, X91P5NR",500000,4,3,Detached,272 m²,2023-12-22, Waterford,X91P5NR
"Castlecreevy, Corrandulla,  Galway, H91K52C",595000,5,6,Detached,54 m²,2023-12-22, Galway,H91K52C
"Glann, Kilkelly,  Mayo, F35N282",425000,5,6,Detached,291 m²,2023-12-22, Mayo,F35N282
"Apartment 404, The Cubes 6, Beacon South Quarter, Sandyford, Dublin 18, D18F535",299000,1,1,Apartment,118 m²,2023-12-22,Dublin,D18F535
"Ballycannon, Kerry Pike,  Cork, T23RX80",425000,4,2,Detached,59 m²,2023-12-22, Cork,T23RX80
"34 Millbrook Road, Ayrfield, Dublin 13, D13E3P9",390000,3,1,Terrace,260 m²,2023-12-22,Dublin,D13E3P9
"7 An Corrán, Cúl Árd, Carrigtwohill,  Cork, T45XC93",210000,2,1,Apartment,201 m²,2023-12-22, Cork,T45XC93
"Drumbibe, Shoodaun, Newcastle, Athenry,  Galway, H65PX02",550000,5,4,Detached,160 m²,2023-12-22, Galway,H65PX02
"Apartment 35, River Gold, Cork City,  Cork, T12XV32",335000,2,1,Apartment,55 m²,2023-12-22, Cork,T12XV32
"Dooen Glebe, Newmills, Letterkenny,  Donegal, F92V1K0",795000,5,4,Detached,74 m²,2023-12-22, Donegal,F92V1K0
"Apartment 27, Mariners Quay, Passage West,  Cork, T12XW81",235000,2,2,Apartment,139 m²,2023-12-22, Cork,T12XW81
"Westland, Ballyheane, Castlebar,  Mayo, F23ND72",459000,4,2,Detached,200 m²,2023-12-22, Mayo,F23ND72
"Pine Cottage, Dunmore Road, Waterford City,  Waterford, X91C2DE",775000,4,3,Detached,188 m²,2023-12-22, Waterford,X91C2DE
"18 Glenina Heights, Dublin Road, Renmore,  Galway, H91F9TN",460000,5,2,Detached,195 m²,2023-12-22, Galway,H91F9TN
"Marnock, North Circular Road, North Circular Road,  Limerick, V94P5NH",550000,4,2,Semi-D,110 m²,2023-12-22, Limerick,V94P5NH
"16 Drymills Lawns, Irishtown, Irishtown,  Mayo, F12N2T1",175000,4,1,Semi-D,267 m²,2023-12-22, Mayo,F12N2T1
"Branchfield, Coolaney,  Sligo, F56Y735",285000,4,3,Bungalow,163 m²,2023-12-22, Sligo,F56Y735
"Carolina, Loughane East, Blarney,  Cork, T23C840",699000,6,5,Detached,84 m²,2023-12-22, Cork,T23C840
"Kestrel Lodge, Clahane, Ballyard, Tralee,  Kerry, V92Y9W6",425000,4,3,Detached,172 m²,2023-12-22, Kerry,V92Y9W6
"Brackloon West, Bekan, Claremorris,  Mayo, F12E6W7",170000,4,2,Detached,147 m²,2023-12-22, Mayo,F12E6W7
"16 French Court, Strokestown,  Roscommon, F42WN92",115000,2,1,Detached,218 m²,2023-12-22, Roscommon,F42WN92
"Ballynastangford Lower, Claremorris,  Mayo, F12W827",395000,4,2,Bungalow,181 m²,2023-12-22, Mayo,F12W827
"Keakil, Stradavoher, Thurles,  Tipperary, E41AT89",425000,5,2,Detached,0.3 ac,2023-12-22, Tipperary,E41AT89
"Cloonfad Beg, Carrick-on-Shannon,  Roscommon, N41YX59",215000,4,2,Detached,153 m²,2023-12-22, Roscommon,N41YX59
"Glengesh, Ardara,  Donegal, F94X0H3",275000,6,2,Detached,226 m²,2023-12-22, Donegal,F94X0H3
"Kilbreedy, Rathdowney,  Laois",80000,3,2,Site,0.47 ac,2023-12-22, Laois, Laois
"Lissalway, Castlerea,  Roscommon, F45YX93",175000,5,3,Detached,116 m²,2023-12-22, Roscommon,F45YX93
"Ballinphuill, Tiobhine, Ballaghaderreen,  Roscommon, F45AY86",245000,6,5,Detached,186 m²,2023-12-22, Roscommon,F45AY86
"Franelco, Kinsealy Lane, Malahide,  Dublin, K36E625",1650000,2,2,Detached,266 m²,2023-12-22, Dublin,K36E625
"Courtyard 1, Adelaide Square, Whitefriar Street, Dublin 8, D08A3K2",650000,3,3,Duplex,104 m²,2023-12-22,Dublin,D08A3K2
"Granaghan Martin, Ballyleague,  Roscommon, F42FY06",290000,4,3,Bungalow,130 m²,2023-12-22, Roscommon,F42FY06
"2 Kilsheelin Heights, Castlecomer Road, Kilkenny,  Kilkenny, R95Y5C8",470000,4,1,Detached,159 m²,2023-12-22, Kilkenny,R95Y5C8
"Knockanish West, The Spa, Tralee,  Kerry, V92Y27C",397500,4,3,Detached,182 m²,2023-12-22, Kerry,V92Y27C
"Millstream Cottage, Knockboy, Dunmore Road, Waterford City,  Waterford, X91RN87",525000,4,2,Detached,150 m²,2023-12-22, Waterford,X91RN87
"12 Freshfield, Maypark Lane, Waterford City,  Waterford, X91DD8E",575000,4,1,Detached,552.12 ac,2023-12-22, Waterford,X91DD8E
"Lot 2 - Barne Farmland, Clonmel,  Tipperary, E91CX96",9150000,2,2,Site,139 m²,2023-12-22, Tipperary,E91CX96
"Cloonrane, Ballindine,  Mayo",349000,5,3,Detached,61 m²,2023-12-22, Mayo, Mayo
"31 Castleland Park View, Parkview, Balbriggan,  Dublin, K32T978",250000,4,2,End of Terrace,0.5 ac,2023-12-22, Dublin,K32T978
"Main Street, Piltown,  Kilkenny, E32XC57",595000,4,3,Detached,143 m²,2023-12-22, Kilkenny,E32XC57
"Curraghmore, Bofeenaun, Ballina,  Mayo, F26E3E8",130000,5,3,Site,106 m²,2023-12-22, Mayo,F26E3E8
"27 Ashwood, Knockcroghery,  Roscommon, F42NC83",215000,4,3,Semi-D,125 m²,2023-12-22, Roscommon,F42NC83
"Somerton, 57 Newtown Road, Waterford City,  Waterford, X91WFH3",650000,5,5,Townhouse,182 m²,2023-12-22, Waterford,X91WFH3
"Cooleen, Woodside Road, Sandyford, Dublin 18, D18E4C6",995000,4,2,Detached,698 m²,2023-12-22,Dublin,D18E4C6
"Waverley, Westminster Road, Foxrock, Dublin 18, D18W2A0",6750000,7,7,Detached,229 m²,2023-12-22,Dublin,D18W2A0
"Glebe, Boyle,  Roscommon, F52T189",495000,5,4,Detached,341 m²,2023-12-22, Roscommon,F52T189
"4 Willow Bank, Monkstown,  Dublin, A96HY99",2500000,6,3,Semi-D,0.2 ac,2023-12-22, Dublin,A96HY99
"Main Street, Ballaghaderreen,  Roscommon",205000,5,4,Site,232 m²,2023-12-22, Roscommon, Roscommon
"Drum, Knock,  Mayo, F12KW24",495000,5,4,Detached,207 m²,2023-12-22, Mayo,F12KW24
"664B Ballycullen Road, Ballycullen, Dublin 16, D16WF38",795000,4,2,Detached,148 m²,2023-12-22,Dublin,D16WF38
"Newtown, Tramore,  Waterford, X91VY98",795000,2,1,Detached,65 m²,2023-12-22, Waterford,X91VY98
"Apartment 23, Old City Pudding Row, Temple Bar, Dublin 2, D08DA00",485000,6,8,Apartment,390 m²,2023-12-22,Dublin,D08DA00
"59 The Island, Chapelizod, Dublin 20, D20XY97",35000,3,4,Terrace,140 m²,2023-12-22,Dublin,D20XY97
"3 Carr's Mill, Donabate,  Dublin, K36AW60",750000,3,1,Terrace,102 m²,2023-12-22, Dublin,K36AW60
"Furnace, Dromod,  Leitrim, N41EW80",295000,2,1,Detached,50 m²,2023-12-22, Leitrim,N41EW80
