year,category,motivation,prizeShare,laureateID,fullName,gender,born,bornCountry,bornCity,Yearborn,age,organizationName,organizationCountry,organizationCity
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,3,1012,Alain Aspect,male,1947-6-15,France,Agen,1947,75,Institut d'Optique Graduate School - Universite Paris-Saclay,France,Paris
2022,medicine,for his discoveries concerning the genomes of extinct hominins and human evolution,1,1011,Svante Paebo,male,1955-4-20,Sweden,Stockholm,1955,67,Max Planck Institute for Evolutionary Anthropology,Germany,Leipzig
2022,economics,for research on banks and financial crises,3,1023,Philip Dybvig,male,1955-5-22,USA,Gainesville FL,1955,67,Washington University,USA,St. Louis MO
2022,economics,for research on banks and financial crises,3,1022,Douglas Diamond,male,1953-10-25,USA,Chicago IL,1953,69,University of Chicago,USA,Chicago IL
2022,economics,for research on banks and financial crises,3,1021,Ben Bernanke,male,1953-12-13,USA,Augusta GA,1953,69,The Brookings Institution,USA,Washington D.C.
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,3,1020,Center for Civil Liberties ,org,2007-00-00,,,2007,15,,,
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,3,1019,Memorial ,org,1987-00-00,,,1987,35,,,
2022,peace,The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.,3,1018,Ales Bialiatski,male,1962-9-25,Russia,Vyartsilya Karelia,1962,60,,,
2022,literature,for the courage and clinical acuity with which she uncovers the roots estrangements and  collective restraints of personal memory,1,1017,Annie Ernaux,female,1940-9-1,France,Lillebonne,1940,82,,,
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,3,1016,Morten Meldal,male,1954-00-00,Denmark,Copenhagen,1954,68,University of Copenhagen,Denmark,Copenhagen
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,3,1015,Carolyn Bertozzi,female,1966-10-10,USA,Boston MA,1966,56,Stanford University,USA,Stanford CA
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,3,1014,Anton Zeilinger,male,1945-5-20,Austria,Ried im Innkreis,1945,77,University of Vienna,Austria,Vienna
2022,physics,for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science,3,1013,John Clauser,male,1942-12-1,USA,Pasadena CA,1942,80,J.F. Clauser & Assoc.,USA,Walnut Creek CA
2022,chemistry,for the development of click chemistry and bioorthogonal chemistry,3,743,Barry Sharpless,male,1941-4-28,USA,Philadelphia PA,1941,81,Scripps Research,USA,La Jolla CA
2021,chemistry,for the development of asymmetric organocatalysis,2,1002,Benjamin List,male,1968-1-11,Germany,Frankfurt-on-the-Main,1968,53,Max Planck Institute for Coal Research,Germany,Mulheim an der Ruhr
2021,economics,for their methodological contributions to the analysis of causal relationships,4,1009,Guido Imbens,male,1963-9-3,the Netherlands,Geldrop,1963,58,Stanford University,USA,Stanford CA
2021,economics,for their methodological contributions to the analysis of causal relationships,4,1008,Joshua Angrist,male,1960-9-18,USA,Columbus OH,1960,61,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2021,economics,for his empirical contributions to labour economics,2,1007,David Card,male,1956-00-00,Canada,Guelph,1956,65,University of California,USA,Berkeley CA
2021,peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,2,1006,Dmitry Muratov,male,1961-00-00,Russia,Samara,1961,60,,,
2021,peace,for their efforts to safeguard freedom of expression which is a precondition for democracy and lasting peace,2,1005,Maria Ressa,female,1963-10-2,Philippines,Manila,1963,58,,,
2021,literature,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,1,1004,Abdulrazak Gurnah,male,1948-00-00,Tanzania,,1948,73,,,
2021,chemistry,for the development of asymmetric organocatalysis,2,1003,David MacMillan,male,1968-3-16,United Kingdom,Bellshill,1968,53,Princeton University,USA,Princeton NJ
2021,physics,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,2,1001,Giorgio Parisi,male,1948-8-4,Italy,Rome,1948,73,Sapienza University of Rome,Italy,Rome
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,4,1000,Klaus Hasselmann,male,1931-10-25,Germany,Hamburg,1931,90,Max Planck Institute for Meteorology,Germany,Hamburg
2021,physics,for the physical modelling of Earths climate quantifying variability and reliably predicting global warming,4,999,Syukuro Manabe,male,1931-9-21,Japan,Shingu Ehime,1931,90,Princeton University,USA,Princeton NJ
2021,medicine,for their discoveries of receptors for temperature and touch,2,998,Ardem Patapoutian,male,1967-00-00,Lebanon,Beirut,1967,54,Scripps Research,USA,La Jolla CA
2021,medicine,for their discoveries of receptors for temperature and touch,2,997,David Julius,male,1955-11-4,USA,New York NY,1955,66,University of California,USA,San Francisco CA
2020,literature,for her unmistakable poetic voice that with austere beauty makes individual existence universal,1,993,Louise Gluck,female,1943-4-22,USA,New York NY,1943,77,,,
2020,economics,for improvements to auction theory and inventions of new auction formats,2,996,Robert Wilson,male,1937-5-16,USA,Geneva NE,1937,83,Stanford University,USA,Stanford CA
2020,economics,for improvements to auction theory and inventions of new auction formats,2,995,Paul Milgrom,male,1948-4-20,USA,Detroit MI,1948,72,Stanford University,USA,Stanford CA
2020,peace,for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict,1,994,World Food Programme ,org,1961-00-00,,,1961,59,,,
2020,chemistry,for the development of a method for genome editing,2,992,Jennifer A. Doudna,female,1964-2-19,USA,Washington D.C.,1964,56,University of California,USA,Berkeley CA
2020,chemistry,for the development of a method for genome editing,2,991,Emmanuelle Charpentier,female,1968-12-11,France,Juvisy-sur-Orge,1968,52,Max Planck Unit for the Science of Pathogens,Germany,Berlin
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,4,990,Andrea Ghez,female,1965-6-16,USA,New York NY,1965,55,University of California,USA,Los Angeles CA
2020,physics,for the discovery of a supermassive compact object at the centre of our galaxy,4,989,Reinhard Genzel,male,1952-3-24,Germany,Bad Homburg vor der Hohe,1952,68,Max Planck Institute for Extraterrestrial Physics,Germany,Garching
2020,physics,for the discovery that black hole formation is a robust prediction of the general theory of relativity,2,988,Roger Penrose,male,1931-8-8,United Kingdom,Colchester,1931,89,University of Oxford,United Kingdom,Oxford
2020,medicine,for the discovery of Hepatitis C virus,3,987,Charles Rice,male,1952-8-25,USA,Sacramento CA,1952,68,Rockefeller University,USA,New York NY
2020,medicine,for the discovery of Hepatitis C virus,3,986,Michael Houghton,male,1949-00-00,United Kingdom,,1949,71,University of Alberta,Canada,Edmonton
2020,medicine,for the discovery of Hepatitis C virus,3,985,Harvey Alter,male,1935-9-12,USA,New York NY,1935,85,National Institutes of Health,USA,Bethesda MD
2019,economics,for their experimental approach to alleviating global poverty,3,984,Michael Kremer,male,1964-11-12,USA,New York NY,1964,55,Harvard University,USA,Cambridge MA
2019,economics,for their experimental approach to alleviating global poverty,3,983,Esther Duflo,female,1972-10-25,France,Paris,1972,47,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2019,economics,for their experimental approach to alleviating global poverty,3,982,Abhijit Banerjee,male,1961-2-21,India,Mumbai,1961,58,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2019,peace,for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea,1,981,Abiy Ahmed Ali,male,1976-8-15,Ethiopia,Beshasha,1976,43,,,
2019,literature,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,1,980,Peter Handke,male,1942-12-6,Austria,Griffen,1942,77,,,
2019,chemistry,for the development of lithium-ion batteries,3,978,Akira Yoshino,male,1948-1-30,Japan,Suita,1948,71,Asahi Kasei Corporation,Japan,Tokyo
2019,chemistry,for the development of lithium-ion batteries,3,977,M. Stanley Whittingham,male,1941-12-22,United Kingdom,,1941,78,Binghamton University State University of New York,USA,New York NY
2019,chemistry,for the development of lithium-ion batteries,3,976,John Goodenough,male,1922-7-25,Germany,Jena,1922,97,University of Texas,USA,Austin TX
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,4,975,Didier Queloz,male,1966-2-23,Switzerland,Geneva,1966,53,University of Geneva,Switzerland,Geneva
2019,physics,for the discovery of an exoplanet orbiting a solar-type star,4,974,Michel Mayor,male,1942-1-12,Switzerland,Lausanne,1942,77,University of Geneva,Switzerland,Geneva
2019,physics,for theoretical discoveries in physical cosmology,2,973,James Peebles,male,1935-4-25,Canada,Winnipeg,1935,84,Princeton University,USA,Princeton NJ
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,3,972,Gregg Semenza,male,1956-7-12,USA,New York NY,1956,63,Johns Hopkins University,USA,Baltimore MD
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,3,971,Peter Ratcliffe,male,1954-5-14,United Kingdom,Lancashire,1954,65,University of Oxford,United Kingdom,Oxford
2019,medicine,for their discoveries of how cells sense and adapt to oxygen availability,3,970,William Kaelin,male,1957-11-23,USA,New York NY,1957,62,Harvard Medical School,USA,Boston MA
2018,physics,for their method of generating high-intensity ultra-short optical pulses,4,961,Gerard Mourou,male,1944-6-22,France,Albertville,1944,74,Ecole Polytechnique,France,Palaiseau
2018,literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,1,979,Olga Tokarczuk,female,1962-1-29,Poland,Sulechow,1962,56,,,
2018,economics,for integrating technological innovations into long-run macroeconomic analysis,2,969,Paul M. Romer,male,1955-00-00,USA,Denver CO,1955,63,NYU Stern School of Business,USA,New York NY
2018,economics,for integrating climate change into long-run macroeconomic analysis,2,968,William D. Nordhaus,male,1941-5-31,USA,Albuquerque NM,1941,77,Yale University,USA,New Haven CT
2018,peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,2,967,Nadia Murad,female,1993-00-00,Iraq,Kojo,1993,25,,,
2018,peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,2,966,Denis Mukwege,male,1955-3-1,Democratic Republic of the Congo,Bukavu,1955,63,,,
2018,chemistry,for the phage display of peptides and antibodies,4,965,Sir Gregory P. Winter,male,1951-4-14,United Kingdom,Leicester,1951,67,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge
2018,chemistry,for the phage display of peptides and antibodies,4,964,George P. Smith,male,1941-3-10,USA,Norwalk CT,1941,77,University of Missouri,USA,Columbia
2018,chemistry,for the directed evolution of enzymes,2,963,Frances H. Arnold,female,1956-7-25,USA,Pittsburgh PA,1956,62,California Institute of Technology (Caltech),USA,Pasadena CA
2018,physics,for their method of generating high-intensity ultra-short optical pulses,4,962,Donna Strickland,female,1959-5-27,Canada,Guelph,1959,59,University of Waterloo,Canada,Waterloo
2018,physics,for the optical tweezers and their application to biological systems,2,960,Arthur Ashkin,male,1922-9-2,USA,New York NY,1922,96,Bell Laboratories,USA,Holmdel NJ
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,2,959,Tasuku Honjo,male,1942-1-27,Japan,Kyoto,1942,76,Kyoto University,Japan,Kyoto
2018,medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,2,958,James P. Allison,male,1948-8-7,USA,Alice TX,1948,70,Parker Institute for Cancer Immunotherapy,USA,San Francisco CA
2017,economics,for his contributions to behavioural economics,1,949,Richard H. Thaler,male,1945-9-12,USA,East Orange NJ,1945,72,University of Chicago,USA,Chicago IL
2017,peace,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,1,948,International Campaign to Abolish Nuclear Weapons ,org,2007-00-00,,,2007,10,,,
2017,literature,who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world,1,947,Kazuo Ishiguro,male,1954-11-8,Japan,Nagasaki,1954,63,,,
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,3,946,Richard Henderson,male,1945-7-19,Scotland,Edinburgh,1945,72,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,3,945,Joachim Frank,male,1940-9-12,Germany,Siegen,1940,77,Columbia University,USA,New York NY
2017,chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,3,944,Jacques Dubochet,male,1942-6-8,Switzerland,Aigle,1942,75,University of Lausanne,Switzerland,Lausanne
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,4,943,Kip S. Thorne,male,1940-6-1,USA,Logan UT,1940,77,LIGO/VIRGO Collaboration,,
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,4,942,Barry C. Barish,male,1936-1-27,USA,Omaha NE,1936,81,LIGO/VIRGO Collaboration,,
2017,physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,2,941,Rainer Weiss,male,1932-9-29,Germany,Berlin,1932,85,LIGO/VIRGO Collaboration,,
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,3,940,Michael W. Young,male,1949-3-28,USA,Miami FL,1949,68,Rockefeller University,USA,New York NY
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,3,939,Michael Rosbash,male,1944-3-7,USA,Kansas City MO,1944,73,Brandeis University,USA,Waltham MA
2017,medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,3,938,Jeffrey C. Hall,male,1945-5-3,USA,New York NY,1945,72,University of Maine,USA,Maine ME
2016,economics,for their contributions to contract theory,2,936,Bengt Holmstrom,male,1949-4-18,Finland,Helsinki,1949,67,Massachusetts Institute of Technology (MIT),USA,Cambridge MA
2016,peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,1,934,Juan Manuel Santos,male,1951-8-10,Colombia,Bogota,1951,65,,,
2016,literature,for having created new poetic expressions within the great American song tradition,1,937,Bob Dylan,male,1941-5-24,USA,Duluth MN,1941,75,,,
2016,economics,for their contributions to contract theory,2,935,Oliver Hart,male,1948-10-9,United Kingdom,London,1948,68,Harvard University,USA,Cambridge MA
2016,chemistry,for the design and synthesis of molecular machines,3,933,Bernard L. Feringa,male,1951-5-18,the Netherlands,Barger-Compascuum,1951,65,University of Groningen,the Netherlands,Groningen
2016,chemistry,for the design and synthesis of molecular machines,3,932,Sir J. Fraser Stoddart,male,1942-5-24,United Kingdom,Edinburgh,1942,74,Northwestern University,USA,Evanston IL
2016,chemistry,for the design and synthesis of molecular machines,3,931,Jean-Pierre Sauvage,male,1944-10-21,France,Paris,1944,72,University of Strasbourg,France,Strasbourg
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,4,930,J. Michael Kosterlitz,male,1943-6-22,United Kingdom,Aberdeen,1943,73,Brown University,USA,Providence RI
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,4,929,F. Duncan M. Haldane,male,1951-9-14,United Kingdom,London,1951,65,Princeton University,USA,Princeton NJ
2016,physics,for theoretical discoveries of topological phase transitions and topological phases of matter,2,928,David J. Thouless,male,1934-9-21,United Kingdom,Bearsden,1934,82,University of Washington,USA,Seattle WA
2016,medicine,for his discoveries of mechanisms for autophagy,1,927,Yoshinori Ohsumi,male,1945-2-9,Japan,Fukuoka,1945,71,Tokyo Institute of Technology,Japan,Tokyo
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,4,917,Satoshi Omura,male,1935-7-12,Japan,Yamanashi Prefecture,1935,80,Kitasato University,Japan,Tokyo
2015,economics,for his analysis of consumption poverty and welfare,1,926,Angus Deaton,male,1945-10-19,Scotland,Edinburgh,1945,70,Princeton University,USA,Princeton NJ
2015,peace,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,1,925,National Dialogue Quartet ,org,2013-7-13,,,2013,2,,,
2015,literature,for her polyphonic writings a monument to suffering and courage in our time,1,924,Svetlana Alexievich,female,1948-5-31,Ukraine,Ivano-Frankivsk,1948,67,,,
2015,chemistry,for mechanistic studies of DNA repair,3,923,Aziz Sancar,male,1946-9-8,Turkey,Savur,1946,69,University of North Carolina,USA,Chapel Hill NC
2015,chemistry,for mechanistic studies of DNA repair,3,922,Paul Modrich,male,1946-6-13,USA,Raton NM,1946,69,Howard Hughes Medical Institute,USA,Durham NC
2015,chemistry,for mechanistic studies of DNA repair,3,921,Tomas Lindahl,male,1938-1-28,Sweden,Stockholm,1938,77,Francis Crick Institute,United Kingdom,Hertfordshire
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,2,920,Arthur B. McDonald,male,1943-8-29,Canada,Sydney,1943,72,Queen's University,Canada,Kingston
2015,physics,for the discovery of neutrino oscillations which shows that neutrinos have mass,2,919,Takaaki Kajita,male,1959-3-9,Japan,Higashimatsuyama,1959,56,University of Tokyo,Japan,Kashiwa
2015,medicine,for her discoveries concerning a novel therapy against Malaria,2,918,Youyou Tu,female,1930-12-30,China,Zhejiang Ningbo,1930,85,China Academy of Traditional Chinese Medicine,China,Beijing
2015,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,4,916,William C. Campbell,male,1930-6-28,Ireland,Ramelton,1930,85,Drew University,USA,Madison NJ
2014,chemistry,for the development of super-resolved fluorescence microscopy,3,910,Stefan W. Hell,male,1962-12-23,Romania,Arad,1962,52,Max Planck Institute for Biophysical Chemistry,Germany,Gottingen
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,4,904,May-Britt Moser,female,1963-1-4,Norway,Fosnavag,1963,51,Norwegian University of Science and Technology (NTNU),Norway,Trondheim
2014,economics,for his analysis of market power and regulation,1,915,Jean Tirole,male,1953-8-9,France,Troyes,1953,61,Toulouse School of Economics (TSE),France,Toulouse
2014,peace,for their struggle against the suppression of children and young people and for the right of all children to education,2,914,Malala Yousafzai,female,1997-7-12,Pakistan,Mingora,1997,17,,,
2014,peace,for their struggle against the suppression of children and young people and for the right of all children to education,2,913,Kailash Satyarthi,male,1954-1-11,India,Vidisha,1954,60,,,
2014,literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",1,912,Patrick Modiano,male,1945-7-30,France,Paris,1945,69,,,
2014,chemistry,for the development of super-resolved fluorescence microscopy,3,911,William E. Moerner,male,1953-6-24,USA,Pleasanton CA,1953,61,Stanford University,USA,Stanford CA
2014,chemistry,for the development of super-resolved fluorescence microscopy,3,909,Eric Betzig,male,1960-1-13,USA,Ann Arbor MI,1960,54,Janelia Research Campus Howard Hughes Medical Institute,USA,Ashburn VA
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,3,908,Shuji Nakamura,male,1954-5-22,Japan,Ikata,1954,60,University of California,USA,Santa Barbara CA
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,3,907,Hiroshi Amano,male,1960-9-11,Japan,Hamamatsu,1960,54,Nagoya University,Japan,Nagoya
2014,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,3,906,Isamu Akasaki,male,1929-1-30,Japan,Chiran,1929,85,Meijo University,Japan,Nagoya
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,4,905,Edvard I. Moser,male,1962-4-27,Norway,Alesund,1962,52,Norwegian University of Science and Technology (NTNU),Norway,Trondheim
2014,medicine,for their discoveries of cells that constitute a positioning system in the brain,2,903,John O'Keefe,male,1939-11-18,USA,New York NY,1939,75,University College,United Kingdom,London
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,3,886,Thomas C. Sudhof,male,1955-12-22,Germany,Gottingen,1955,58,Stanford University,USA,Stanford CA
2013,chemistry,for the development of multiscale models for complex chemical systems,3,889,Martin Karplus,male,1930-3-15,Austria,Vienna,1930,83,Universite de Strasbourg,France,Strasbourg
2013,physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,2,887,Franois Englert,male,1932-11-6,Belgium,Etterbeek,1932,81,Universite Libre de Bruxelles,Belgium,Brussels
2013,economics,for their empirical analysis of asset prices,3,896,Robert J. Shiller,male,1946-3-29,USA,Detroit MI,1946,67,Yale University,USA,New Haven CT
2013,economics,for their empirical analysis of asset prices,3,895,Lars Peter Hansen,male,1952-10-26,USA,Urbana IL,1952,61,University of Chicago,USA,Chicago IL
2013,economics,for their empirical analysis of asset prices,3,894,Eugene F. Fama,male,1939-2-14,USA,Boston MA,1939,74,University of Chicago,USA,Chicago IL
2013,peace,for its extensive efforts to eliminate chemical weapons,1,893,Organisation for the Prohibition of Chemical Weapons ,org,1997-00-00,,,1997,16,,,
2013,literature,master of the contemporary short story,1,892,Alice Munro,female,1931-7-10,Canada,Wingham,1931,82,,,
2013,chemistry,for the development of multiscale models for complex chemical systems,3,891,Arieh Warshel,male,1940-11-20,Israel,Kibbutz Sde Nahum,1940,73,University of Southern California,USA,Los Angeles CA
2013,chemistry,for the development of multiscale models for complex chemical systems,3,890,Michael Levitt,male,1947-5-9,South Africa,Pretoria,1947,66,Stanford University School of Medicine,USA,Stanford CA
2013,physics,for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider,2,888,Peter Higgs,male,1929-5-29,United Kingdom,Newcastle upon Tyne,1929,84,University of Edinburgh,United Kingdom,Edinburgh
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,3,885,Randy W. Schekman,male,1948-12-30,USA,St. Paul MN,1948,65,University of California,USA,Berkeley CA
2013,medicine,for their discoveries of machinery regulating vesicle traffic a major transport system in our cells,3,884,James E. Rothman,male,1950-11-3,USA,Haverhill MA,1950,63,Yale University,USA,New Haven CT
2012,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,2,876,Serge Haroche,male,1944-9-11,Morocco,Casablanca,1944,68,College de France,France,Paris
2012,economics,for the theory of stable allocations and the practice of market design,2,883,Lloyd S. Shapley,male,1923-6-2,USA,Cambridge MA,1923,89,University of California,USA,Los Angeles CA
2012,economics,for the theory of stable allocations and the practice of market design,2,882,Alvin E. Roth,male,1951-12-18,USA,New York NY,1951,61,Harvard University,USA,Cambridge MA
2012,peace,for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe,1,881,European Union ,org,1952-00-00,,,1952,60,,,
2012,literature,who with hallucinatory realism merges folk tales history and the contemporary,1,880,Mo Yan,male,1956-3-25,China,Gaomi,1956,56,,,
2012,chemistry,for studies of G-protein-coupled receptors,2,879,Brian Kobilka,male,1955-5-30,USA,Little Falls MN,1955,57,Stanford University School of Medicine,USA,Stanford CA
2012,chemistry,for studies of G-protein-coupled receptors,2,878,Robert J. Lefkowitz,male,1943-4-15,USA,New York NY,1943,69,Howard Hughes Medical Institute,USA,
2012,physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,2,877,David J. Wineland,male,1944-2-24,USA,Milwaukee WI,1944,68,National Institute of Standards and Technology,USA,Boulder CO
2012,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,2,875,Shinya Yamanaka,male,1962-9-4,Japan,Osaka,1962,50,Kyoto University,Japan,Kyoto
2012,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,2,874,Sir John B. Gurdon,male,1933-10-2,United Kingdom,Dippenhall,1933,79,Gurdon Institute,United Kingdom,Cambridge
2011,economics,for their empirical research on cause and effect in the macroeconomy,2,873,Christopher A. Sims,male,1942-10-21,USA,Washington D.C.,1942,69,Princeton University,USA,Princeton NJ
2011,economics,for their empirical research on cause and effect in the macroeconomy,2,872,Thomas J. Sargent,male,1943-7-19,USA,Pasadena CA,1943,68,New York University,USA,New York NY
2011,peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,3,871,Tawakkol Karman,female,1979-2-7,Yemen,Ta'izz,1979,32,,,
2011,peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,3,870,Leymah Gbowee,female,1972-2-1,Liberia,Monrovia,1972,39,,,
2011,peace,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,3,869,Ellen Johnson Sirleaf,female,1938-10-29,Liberia,Monrovia,1938,73,,,
2011,literature,because through his condensed translucent images he gives us fresh access to reality,1,868,Tomas Transtromer,male,1931-4-15,Sweden,Stockholm,1931,80,,,
2011,chemistry,for the discovery of quasicrystals,1,867,Dan Shechtman,male,1941-1-24,Israel,Tel Aviv,1941,70,Technion - Israel Institute of Technology,Israel,Haifa
2011,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,4,866,Adam G. Riess,male,1969-12-16,USA,Washington D.C.,1969,42,Johns Hopkins University,USA,Baltimore MD
2011,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,4,865,Brian P. Schmidt,male,1967-2-24,USA,Missoula MT,1967,44,Australian National University,Australia,Weston Creek
2011,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,2,864,Saul Perlmutter,male,1959-00-00,USA,Champaign Urbana IL,1959,52,Lawrence Berkeley National Laboratory,USA,Berkeley CA
2011,medicine,for his discovery of the dendritic cell and its role in adaptive immunity,2,863,Ralph M. Steinman,male,1943-1-14,Canada,Montreal,1943,68,Rockefeller University,USA,New York NY
